"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
0,0,0,0,0,0,0,1,1,6,3,2,0,1,0
0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
0,0,0,0,0,0,0,3,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,4,0,1,1,3,2,0,1
0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,2,1,1,0
0,0,0,0,0,0,0,2,1,9,6,3,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0,0,0,2,0,1,0,0,2,0,1
0,0,0,0,0,0,0,1,1,1,0,0,3,2,0
0,0,0,0,0,0,0,1,0,0,2,0,0,1,2
0,0,0,0,0,0,0,9,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,3,1,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,3,1,0,0,0
0,0,0,0,0,0,0,1,2,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,3,0,4,4,5,5,0,0
0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,3,2,0,2,1
0,0,0,0,0,0,0,2,0,0,2,1,0,0,0
0,0,0,0,0,0,0,5,1,0,1,0,1,2,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,3,4,1,0,0,0,0,0
